Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
Shubman Gill (IND),2019-2023,21,21,4,1254,208,73.76,1142,109.8,4,5,0,142,27
HE van der Dussen (SA),2019-2023,41,35,10,1679,134,67.16,1859,90.31,4,11,1,117,30
RN ten Doeschate (NED),2006-2011,33,32,9,1541,119,67.0,1757,87.7,5,9,1,130,29
Babar Azam (PAK),2015-2023,95,93,12,4813,158,59.41,5406,89.03,17,24,3,437,48
V Kohli (IND),2008-2023,271,262,40,12809,183,57.69,13660,93.77,46,64,15,1204,137
MG Bevan (AUS),1994-2004,232,196,67,6912,108*,53.58,9320,74.16,6,46,5,450,21
HT Tector (IRE),2020-2023,26,25,5,1071,113,53.55,1327,80.7,3,8,2,85,21
AB de Villiers (Afr/SA),2005-2018,228,218,39,9577,176,53.5,9473,101.09,25,53,7,840,204
IJL Trott (ENG),2009-2013,68,65,10,2819,137,51.25,3658,77.06,4,22,5,216,3
Imam-ul-Haq (PAK),2017-2023,56,56,6,2545,151,50.9,3078,82.68,9,14,3,201,24
MS Dhoni (Asia/IND),2004-2019,350,297,84,10773,183*,50.57,12303,87.56,10,73,10,826,229
JE Root (ENG),2013-2022,158,147,23,6207,133*,50.05,7140,86.93,16,36,7,496,46
HM Amla (SA),2008-2019,181,178,14,8113,159,49.46,9178,88.39,27,39,4,822,53
SD Hope (WI),2016-2022,104,99,11,4308,170,48.95,5768,74.68,13,21,5,360,62
RG Sharma (IND),2007-2023,241,234,34,9782,264,48.91,10882,89.89,30,48,14,896,273
MEK Hussey (AUS),2004-2012,185,157,44,5442,109*,48.15,6243,87.16,3,39,3,383,80
JN Malan (SA),2020-2022,23,22,2,958,177*,47.9,1150,83.3,3,4,2,97,16
KS Williamson (NZ),2010-2023,161,153,16,6554,148,47.83,8094,80.97,13,42,5,594,51
TLW Cooper (NED),2010-2022,29,28,2,1242,101,47.76,1721,72.16,1,11,0,106,8
Zaheer Abbas (PAK),1974-1985,62,60,6,2572,123,47.62,3033,84.8,7,13,2,213+,22+
LRPL Taylor (NZ),2006-2022,236,220,39,8607,181*,47.55,10330,83.32,21,51,9,713,147
F du Plessis (SA),2011-2019,143,136,20,5507,185,47.47,6215,88.6,12,35,3,495,66
AT Rayudu (IND),2013-2019,55,50,14,1694,124*,47.05,2143,79.04,3,10,3,145,30
IVA Richards (WI),1975-1991,187,167,24,6721,189*,47.0,7451,90.2,11,45,7,600+,126+
GM Turner (NZ),1973-1983,41,40,6,1598,171*,47.0,2348,68.05,3,9,1,156+,7+
SS Iyer (IND),2017-2023,42,38,3,1631,113*,46.6,1690,96.5,2,14,0,162,32
JM Bairstow (ENG),2011-2022,95,86,8,3634,141*,46.58,3490,104.12,11,15,7,408,89
AC Voges (AUS),2007-2013,31,28,9,870,112*,45.78,998,87.17,1,4,0,61,10
Fakhar Zaman (PAK),2017-2023,65,65,4,2785,210*,45.65,3010,92.52,8,15,6,318,49
T Bavuma (SA),2016-2023,23,22,2,910,113,45.5,1046,86.99,3,2,0,84,8
Q de Kock (SA),2013-2023,137,137,7,5901,178,45.39,6143,96.06,17,29,4,679,90
DA Warner (AUS),2009-2022,141,139,6,6007,179,45.16,6306,95.25,19,27,3,638,92
SPD Smith (AUS),2010-2022,139,124,15,4917,164,45.11,5610,87.64,12,29,5,431,47
CG Greenidge (WI),1975-1991,128,127,13,5134,133*,45.03,7908,64.92,11,31,3,470+,81+
Haris Sohail (PAK),2013-2023,45,44,5,1749,130,44.84,2046,85.48,2,14,1,138,28
SR Tendulkar (IND),1989-2012,463,452,41,18426,200*,44.83,21368,86.23,49,96,20,2016,195
DM Jones (AUS),1984-1994,164,161,25,6068,145,44.61,8362,72.56,7,46,6,380+,64+
MJ Clarke (AUS),2003-2015,245,223,44,7981,130,44.58,10104,78.98,8,58,10,665,53
KL Rahul (IND),2016-2023,51,49,7,1870,112,44.52,2141,87.34,5,12,2,142,44
JH Kallis (Afr/ICC/SA),1996-2014,328,314,53,11579,139,44.36,15885,72.89,17,86,17,911,137
S Dhawan (IND),2010-2022,167,164,10,6793,143,44.11,7436,91.35,17,39,5,842,79
ML Hayden (AUS/ICC),1993-2008,161,155,15,6133,181*,43.8,7767,78.96,10,36,9,636,87
Misbah-ul-Haq (PAK),2002-2015,162,149,31,5122,96*,43.4,6945,73.75,0,42,6,342,83
MG Erasmus (NAM),2019-2023,34,33,3,1296,121*,43.2,1669,77.65,1,11,3,95,29
Imad Wasim (PAK),2015-2020,55,40,17,986,63*,42.86,894,110.29,0,5,1,91,19
RR Sarwan (WI),2000-2013,181,169,33,5804,120*,42.67,7663,75.74,5,38,8,480,58
JWA Taylor (ENG),2011-2015,27,26,5,887,101,42.23,1107,80.12,1,7,2,69,12
HH Dippenaar (Afr/SA),1999-2007,107,95,14,3421,125*,42.23,5047,67.78,4,26,4,334,16
KM Jadhav (IND),2014-2020,73,52,19,1389,120,42.09,1367,101.6,2,6,2,141,24
RT Ponting (AUS/ICC),1995-2012,375,365,39,13704,164,42.03,17046,80.39,30,82,20,1231,162
DA Miller (SA),2010-2023,152,130,40,3780,139,42.0,3699,102.18,5,20,8,283,104
UT Khawaja (AUS),2013-2019,40,39,2,1554,104,42.0,1848,84.09,2,12,2,150,13
KC Sangakkara (Asia/ICC/SL),2000-2015,404,380,41,14234,169,41.98,18048,78.86,25,93,15,1385,88
MJ Guptill (NZ),2009-2022,198,195,19,7346,237*,41.73,8415,87.29,18,39,16,750,187
Mohammad Yousuf (Asia/PAK),1998-2010,288,273,40,9720,141*,41.71,12942,75.1,15,64,15,785,90
Javed Miandad (PAK),1975-1996,233,218,41,7381,119*,41.7,11014,67.01,8,50,8,445+,44+
AD Mathews (SL),2008-2021,218,188,48,5835,139*,41.67,7004,83.3,3,40,15,461,89
KIC Asalanka (SL),2021-2023,22,21,2,791,110,41.63,882,89.68,1,6,1,61,13
JC Buttler (ENG),2012-2023,162,135,26,4536,162*,41.61,3841,118.09,11,23,13,368,156
S Chanderpaul (WI),1994-2011,268,251,40,8778,150,41.6,12408,70.74,11,59,6,722,85
CJ Ferguson (AUS),2009-2011,30,25,9,663,71*,41.43,777,85.32,0,5,0,64,0
DL Haynes (WI),1978-1994,238,237,28,8648,152*,41.37,13707,63.09,17,57,13,768+,53+
L Klusener (SA),1996-2004,171,137,50,3576,103*,41.1,3977,89.91,2,19,13,293,76
SC Ganguly (Asia/IND),1992-2007,311,300,23,11363,183,41.02,15416,73.7,22,72,16,1122,190
G Kirsten (SA),1993-2003,185,185,19,6798,188*,40.95,9436,72.04,13,45,11,659,20
DR Martyn (AUS),1992-2006,208,182,51,5346,144*,40.8,6877,77.73,5,37,10,441,22
SE Marsh (AUS),2008-2019,73,72,4,2773,151,40.77,3406,81.41,7,15,3,247,36
KP Pietersen (ENG/ICC),2004-2013,136,125,16,4440,130,40.73,5128,86.58,9,25,7,427,77
GJ Bailey (AUS),2012-2016,90,85,10,3044,156,40.58,3645,83.51,3,22,3,222,57
SR Watson (AUS),2002-2015,190,169,27,5757,185*,40.54,6365,90.44,9,33,12,570,131
TM Head (AUS),2016-2022,51,48,3,1823,152,40.51,1904,95.74,3,13,2,190,32
BC Lara (ICC/WI),1990-2007,299,289,32,10405,169,40.48,13086,79.51,19,63,16,1042,133
NV Knight (ENG),1996-2003,100,100,10,3637,125*,40.41,5085,71.52,5,25,6,327,21
Aaron Jones (USA),2019-2022,33,33,3,1208,123*,40.26,1674,72.16,1,8,2,81,22
Fawad Alam (PAK),2007-2015,38,36,12,966,114*,40.25,1297,74.47,1,6,3,59,6
GS Chappell (AUS),1971-1983,74,72,14,2331,138*,40.18,3079,75.7,3,14,7,195,7
BC Broad (ENG),1987-1988,34,34,0,1361,106,40.02,2447,55.61,1,11,2,81,3
GR Marsh (AUS),1986-1992,117,115,6,4357,126*,39.97,7790,55.93,9,22,4,302,22
KWR Fletcher (ENG),1971-1982,24,22,3,757,131,39.84,1134,66.75,1,5,0,64+,6+
A Symonds (AUS),1998-2009,198,161,33,5088,156,39.75,5504,92.44,6,30,15,449,103
G Gambhir (IND),2003-2013,147,143,11,5238,150*,39.68,6144,85.25,11,34,11,561,17
JJ Roy (ENG),2015-2023,113,107,3,4116,180,39.57,3884,105.97,11,21,11,489,80
CH Lloyd (WI),1973-1985,87,69,19,1977,102,39.54,2434,81.22,1,11,1,160+,30+
Inzamam-ul-Haq (Asia/PAK),1991-2007,378,350,53,11739,137*,39.52,15812,74.24,10,83,20,971,144
NH Fairbrother (ENG),1987-1999,75,71,18,2092,113,39.47,2903,72.06,1,16,2,140,20
ME Waugh (AUS),1988-2002,244,236,20,8500,173,39.35,11053,76.9,18,50,16,651,57
AJ Lamb (ENG),1982-1992,122,118,16,4010,118,39.31,5308,75.54,4,26,8,328,30
EJG Morgan (ENG/IRE),2006-2022,248,230,34,7701,148,39.29,8447,91.16,14,47,18,654,220
TM Dilshan (SL),1999-2016,330,303,41,10290,161*,39.27,11933,86.23,22,47,11,1111,55
Saeed Anwar (PAK),1989-2003,247,244,19,8824,194,39.21,10938,80.67,20,43,15,938,97
Babar Hayat (HKG),2014-2018,22,22,2,784,89,39.2,999,78.47,0,8,3,70,26
GN Yallop (AUS),1978-1984,30,27,6,823,66*,39.19,1288,63.89,0,7,1,64,3
R Dravid (Asia/ICC/IND),1996-2011,344,318,40,10889,153,39.16,15285,71.23,12,83,13,950,42
SB Smith (AUS),1983-1985,28,24,2,861,117,39.13,1319,65.27,2,8,1,67+,0+
RA Smith (ENG),1988-1996,71,70,8,2419,167*,39.01,3473,69.65,4,15,4,239,22
BA Stokes (ENG),2011-2022,105,90,15,2924,102*,38.98,3075,95.08,3,21,6,238,88
HG Munsey (SCOT),2017-2023,49,48,9,1520,103*,38.97,1819,83.56,1,11,3,156,41
DS Lehmann (AUS),1996-2005,117,101,22,3078,119,38.96,3784,81.34,4,17,4,227,14
KJ Coetzer (SCOT),2008-2023,89,87,5,3192,156,38.92,3875,82.37,5,21,8,412,40
AJ Finch (AUS),2013-2022,146,142,3,5406,153*,38.89,6162,87.73,17,30,16,532,129
RG Twose (NZ),1995-2001,87,81,11,2717,103,38.81,3603,75.4,1,20,5,240,33
PR Stirling (IRE),2008-2023,142,138,3,5230,177,38.74,6043,86.54,13,26,11,562,121
RR Rossouw (SA),2014-2016,36,35,3,1239,132,38.71,1313,94.36,3,7,5,131,22
SA Edwards (NED),2018-2022,25,23,3,774,86,38.7,904,85.61,0,9,1,55,7
WJ Cronje (SA),1992-2000,188,175,31,5565,112,38.64,7277,76.47,2,39,8,366,94
MD Crowe (NZ),1982-1995,143,140,18,4704,107*,38.55,6476,72.63,4,34,3,378,29
CS MacLeod (SCOT),2008-2022,88,86,7,3026,175,38.3,3756,80.56,10,13,9,312,35
Rahmat Shah (AFG),2013-2022,88,84,3,3083,114,38.06,4373,70.5,5,22,3,265,35
PN Kirsten (SA),1991-1994,40,40,6,1293,97,38.02,2308,56.02,0,9,0,90,8
EC Joyce (ENG/IRE),2006-2018,78,77,8,2622,160*,38.0,3630,72.23,6,15,5,255,25
